code,display_name
SCAN_etfLeverage_ASC,Leverage (AltaVista) Asc
SCAN_etfLeverage_DESC,Leverage (AltaVista) Desc
SCAN_rcgLongTermEventScore_ASC,Long Term Event Score (Recognia) Asc
SCAN_rcgLongTermEventScore_DESC,Long Term Event Score (Recognia) Desc
SCAN_etfLTG_ASC,Long Term Growth (AltaVista) Asc
SCAN_etfLTG_DESC,Long Term Growth (AltaVista) Desc
SCAN_rcgLongTermTechnicalDate_ASC,Long Term Technical Date (Recognia) Asc
SCAN_rcgLongTermTechnicalDate_DESC,Long Term Technical Date (Recognia) Desc
SCAN_rcgLongTermTrade_ASC,Long Term Trade (Recognia) Asc
SCAN_rcgLongTermTrade_DESC,Long Term Trade (Recognia) Desc
LOW_BOND_DEBT_2_BOOK_RATIO,Low Debt/Book (Refinitiv)
LOW_BOND_DEBT_2_EQUITY_RATIO,Low Debt/Equity
LOW_BOND_DEBT_2_TAN_BOOK_RATIO,Low Debt/Tang. Book (Refinitiv)
LOW_BOND_EQUITY_2_BOOK_RATIO,Low Equity/Book (Refinitiv)
LOW_BOND_EQUITY_2_TAN_BOOK_RATIO,Low Equity/Tang. Book (Refinitiv)
LOW_GROWTH_RATE,Low Growth Rate (Refinitiv)
LOW_OPT_OPEN_INTEREST_PUT_CALL_RATIO,Low Opt Open Interest P/C Ratio
LOW_OPT_VOLUME_PUT_CALL_RATIO,Low Opt Volume P/C Ratio
LOW_OPT_IMP_VOLAT_OVER_HIST,Low Option Imp Vol Over Historical
LOW_PE_RATIO,Low P/E Ratio (Refinitiv)
LOW_PRICE_2_BOOK_RATIO,Low Price/Book Ratio (Refinitiv)
LOW_PRICE_2_TAN_BOOK_RATIO,Low Price/Tang. Book Ratio (Refinitiv)
LOW_QUICK_RATIO,Low Quick Ratio (Refinitiv)
LOW_RETURN_ON_EQUITY,Low Return On Equity (Refinitiv)
LOWEST_SLB_ASK,Lowest Ask
LOW_BOND_BID_YIELD_ALL,Lowest Bid Yield
LOW_OPT_IMP_VOLAT,Lowest Option Imp Vol
LOW_BOND_SPREAD_ALL,Lowest Spread
SCAN_lipperLTDebt2ShareholdersEquity_ASC,LT Debt / Shareholders Equity Asc
SCAN_lipperLTDebt2ShareholdersEquity_DESC,LT Debt / Shareholders Equity Desc
SCAN_etfDUR_WgtAvg_ASC,Macaulay Duration Weighted Average (AltaVista) Asc
SCAN_etfDUR_WgtAvg_DESC,Macaulay Duration Weighted Average (AltaVista) Desc
