code,display_name,unit,data_type,min,max
lipperEPSGrowth5yrBelow,EPS Growth - 5Yr Below,,,,
lipperFundLeverageRatioAbove,Fund Leverage Ratio Above,,,,
lipperFundLeverageRatioBelow,Fund Leverage Ratio Below,,,,
lipperInformationRatio1yrAbove,Information Ratio 1Yr Above,,,,
lipperInformationRatio1yrBelow,Information Ratio 1Yr Below,,,,
lipperLatestCompositeZScoreAbove,Composite Z-Score Latest Above,,,,
lipperLatestCompositeZScoreBelow,Composite Z-Score Latest Below,,,,
lipperLatestPrice2BookRatioAbove,Price/Book Ratio Latest Above,,,,
lipperLatestPrice2BookRatioBelow,Price/Book Ratio Latest Below,,,,
lipperLatestPrice2BookZScoreAbove,Price to Book Z-Score Latest Above,,,,
lipperLatestPrice2BookZScoreBelow,Price to Book Z-Score Latest Below,,,,
lipperLatestPrice2EarningsRatioAbove,Price/Earnings Ratio Latest Above,,,,
lipperLatestPrice2EarningsRatioBelow,Price/Earnings Ratio Latest Below,,,,
lipperLatestPrice2EarningsZScoreAbove,Price to Earnings Z-Score Latest Above,,,,
lipperLatestPrice2EarningsZScoreBelow,Price to Earnings Z-Score Latest Below,,,,
lipperLatestPrice2SalesRatioAbove,Price/Sales Ratio Latest Above,,,,
lipperLatestPrice2SalesRatioBelow,Price/Sales Ratio Latest Below,,,,
lipperLatestPrice2SalesZScoreAbove,Price/Sales Z-Score Latest Above,,,,
lipperLatestPrice2SalesZScoreBelow,Price/Sales Z-Score Latest Below,,,,
lipperLatestReturnOnEquityWAvgAbove,Return on Equity Weighted Average Latest Above,,,,
lipperLatestReturnOnEquityWAvgBelow,Return on Equity Weighted Average Latest Below,,,,
lipperLatestSalesPerShareGrowth3yrAbove,Sales Per Share Growth 3Yr Latest Above,,,,
lipperLatestSalesPerShareGrowth3yrBelow,Sales Per Share Growth 3Yr Latest Below,,,,
lipperLatestSPSGrowthZScoreAbove,SPS Growth Z-Score Latest Above,,,,
lipperLatestSPSGrowthZScoreBelow,SPS Growth Z-Score Latest Below,,,,
lipperLTDebt2ShareholdersEquityAbove,LT Debt / Shareholders Equity Above,,,,
lipperLTDebt2ShareholdersEquityBelow,LT Debt / Shareholders Equity Below,,,,
lipperMaxGain1yrAbove,Max Gain 1Yr Above,,,,
lipperMaxGain1yrBelow,Max Gain 1Yr Below,,,,
lipperMaximumDrawdown1yrAbove,Max Drawdown 1Yr Above,,,,
lipperMaximumDrawdown1yrBelow,Max Drawdown 1Yr Below,,,,
lipperMaxLoss1yrAbove,Max Loss 1Yr Above,,,,
lipperMaxLoss1yrBelow,Max Loss 1Yr Below,,,,
lipperMktCapAvgLatestAbove,Market Capitalisation - Avg. Latest Above,,,,
lipperMktCapAvgLatestBelow,Market Capitalisation - Avg. Latest Below,,,,
lipperNominalMaturityAbove,Nominal Maturity Above,,,,
lipperNominalMaturityBelow,Nominal Maturity Below,,,,
lipperNumberOfSecuritiesAbove,Number of Securities Above,,,,
